SettlementPoint,Month,Day,Time,NormalAvgPrice
HB_HUBAVG,1,1,1,0.8129256728331192
HB_HUBAVG,1,1,2,0.7577118557345734
HB_HUBAVG,1,1,3,0.7377912199115396
HB_HUBAVG,1,1,4,0.7424302720895064
HB_HUBAVG,1,1,5,0.7779963387872517
HB_HUBAVG,1,1,6,0.833664964922853
HB_HUBAVG,1,1,7,0.9430920192384223
HB_HUBAVG,1,1,8,0.9866627249883455
HB_HUBAVG,1,1,9,1.1652207529363607
HB_HUBAVG,1,1,10,1.212157045560495
HB_HUBAVG,1,1,11,1.1722248121070167
HB_HUBAVG,1,1,12,1.0184993575822352
HB_HUBAVG,1,1,13,0.9585555264983114
HB_HUBAVG,1,1,14,0.9148938589409771
HB_HUBAVG,1,1,15,0.9067072962739771
HB_HUBAVG,1,1,16,0.8905160945547989
HB_HUBAVG,1,1,17,0.9232623452227996
HB_HUBAVG,1,1,18,1.3830742816859771
HB_HUBAVG,1,1,19,1.4827684226085571
HB_HUBAVG,1,1,20,1.2799235920817746
HB_HUBAVG,1,1,21,1.1874154339446723
HB_HUBAVG,1,1,22,1.0497902193316582
HB_HUBAVG,1,1,23,0.9786580859361675
HB_HUBAVG,1,1,24,0.8840578062286097
HB_HUBAVG,1,2,1,0.6636214435734699
HB_HUBAVG,1,2,2,0.6256785759373816
HB_HUBAVG,1,2,3,0.6236127210751627
HB_HUBAVG,1,2,4,0.6335288244138136
HB_HUBAVG,1,2,5,0.7397137643318681
HB_HUBAVG,1,2,6,0.8064408763815404
HB_HUBAVG,1,2,7,1.682294476133638
HB_HUBAVG,1,2,8,1.85252091678048
HB_HUBAVG,1,2,9,1.366838438672803
HB_HUBAVG,1,2,10,1.2795216398296818
HB_HUBAVG,1,2,11,1.0659122470762414
HB_HUBAVG,1,2,12,0.9373472128174818
HB_HUBAVG,1,2,13,0.8501681376318417
HB_HUBAVG,1,2,14,0.8074049419839093
HB_HUBAVG,1,2,15,0.790809241257417
HB_HUBAVG,1,2,16,0.7721476856687057
HB_HUBAVG,1,2,17,0.8399077251494875
HB_HUBAVG,1,2,18,1.5339660970263167
HB_HUBAVG,1,2,19,1.5552444021071719
HB_HUBAVG,1,2,20,1.1333279774133203
HB_HUBAVG,1,2,21,1.0681158255959418
HB_HUBAVG,1,2,22,0.8998175161538372
HB_HUBAVG,1,2,23,0.7993481080212554
HB_HUBAVG,1,2,24,0.6727112049672332
HB_HUBAVG,1,3,1,0.6865608603128707
HB_HUBAVG,1,3,2,0.6336165304829513
HB_HUBAVG,1,3,3,0.6379830731493364
HB_HUBAVG,1,3,4,0.6679250800045484
HB_HUBAVG,1,3,5,0.8028200588053738
HB_HUBAVG,1,3,6,0.943485111843922
HB_HUBAVG,1,3,7,1.6135154892054777
HB_HUBAVG,1,3,8,1.4440000649783133
HB_HUBAVG,1,3,9,1.1690638249484235
HB_HUBAVG,1,3,10,1.1469192157117563
HB_HUBAVG,1,3,11,1.068087525788268
HB_HUBAVG,1,3,12,0.9873844604363293
HB_HUBAVG,1,3,13,0.9276563946782761
HB_HUBAVG,1,3,14,0.8889033285141084
HB_HUBAVG,1,3,15,0.8570119722542601
HB_HUBAVG,1,3,16,0.851787715849835
HB_HUBAVG,1,3,17,0.9073831608700597
HB_HUBAVG,1,3,18,1.2381487678487304
HB_HUBAVG,1,3,19,1.3429457918419727
HB_HUBAVG,1,3,20,1.1558082489968973
HB_HUBAVG,1,3,21,1.1241508146656052
HB_HUBAVG,1,3,22,1.0423561136470703
HB_HUBAVG,1,3,23,0.9633684757712113
HB_HUBAVG,1,3,24,0.8991179193944021
HB_HUBAVG,1,4,1,0.8122365978014205
HB_HUBAVG,1,4,2,0.8049276472841944
HB_HUBAVG,1,4,3,0.805242010747301
HB_HUBAVG,1,4,4,0.83856453783659
HB_HUBAVG,1,4,5,0.8725943827178687
HB_HUBAVG,1,4,6,1.0517029658227972
HB_HUBAVG,1,4,7,1.9158095350367905
HB_HUBAVG,1,4,8,1.5279636124291456
HB_HUBAVG,1,4,9,1.1541068639297398
HB_HUBAVG,1,4,10,1.120705745974674
HB_HUBAVG,1,4,11,1.0098926252296327
HB_HUBAVG,1,4,12,0.9175483579420982
HB_HUBAVG,1,4,13,0.8733017005098583
HB_HUBAVG,1,4,14,0.8204886387079663
HB_HUBAVG,1,4,15,0.7800143428330043
HB_HUBAVG,1,4,16,0.7789140707121315
HB_HUBAVG,1,4,17,0.8386431287023667
HB_HUBAVG,1,4,18,1.139174599432181
HB_HUBAVG,1,4,19,1.1816922578173352
HB_HUBAVG,1,4,20,1.0378709734461113
HB_HUBAVG,1,4,21,1.0009332665310973
HB_HUBAVG,1,4,22,0.9374318469835844
HB_HUBAVG,1,4,23,0.9107895434853085
HB_HUBAVG,1,4,24,0.8694507480868037
HB_HUBAVG,1,5,1,0.9394153939516537
HB_HUBAVG,1,5,2,0.8654273288156165
HB_HUBAVG,1,5,3,0.8755254374431072
HB_HUBAVG,1,5,4,0.8827106301203601
HB_HUBAVG,1,5,5,0.9642722767270153
HB_HUBAVG,1,5,6,1.0789440679680389
HB_HUBAVG,1,5,7,1.5880246788712453
HB_HUBAVG,1,5,8,1.4087832507332863
HB_HUBAVG,1,5,9,1.1834206533832305
HB_HUBAVG,1,5,10,1.0843815110751494
HB_HUBAVG,1,5,11,1.0324345099625771
HB_HUBAVG,1,5,12,0.9623303327601902
HB_HUBAVG,1,5,13,0.9306766461009406
