SettlementPoint,Year,Month,AveragePrice
HB_HUBAVG,2018,02,21.830059523809524
HB_HUBAVG,2018,03,22.40343203230148
HB_HUBAVG,2018,04,22.450305555555556
HB_HUBAVG,2018,05,32.834852150537635
HB_HUBAVG,2018,06,29.781861111111112
HB_HUBAVG,2018,07,78.8323252688172
HB_HUBAVG,2018,08,31.694583333333334
HB_HUBAVG,2018,09,27.05302777777778
HB_HUBAVG,2018,10,29.889112903225808
HB_HUBAVG,2018,11,30.277208333333334
HB_HUBAVG,2018,12,30.191989247311827
HB_HUBAVG,2019,01,24.68340053763441
HB_HUBAVG,2019,02,21.25063988095238
HB_HUBAVG,2019,03,27.189030955585466
HB_HUBAVG,2019,04,22.221166666666665
HB_HUBAVG,2019,05,23.883763440860214
HB_HUBAVG,2019,06,25.171541666666666
HB_HUBAVG,2019,07,29.696236559139784
HB_HUBAVG,2019,08,126.34983870967741
HB_HUBAVG,2019,09,79.45919444444445
HB_HUBAVG,2019,10,28.131760752688173
HB_HUBAVG,2019,11,23.257236111111112
HB_HUBAVG,2019,12,18.62337365591398
HB_NORTH,2016,01,19.133306451612903
HB_NORTH,2016,02,15.292658045977012
HB_NORTH,2016,03,16.859367429340512
HB_NORTH,2016,04,18.350666666666665
HB_NORTH,2016,05,17.905631720430108
HB_NORTH,2016,06,23.158055555555556
HB_NORTH,2016,07,26.800793010752688
HB_NORTH,2016,08,29.828387096774193
HB_NORTH,2016,09,26.249180555555554
HB_NORTH,2016,10,24.005255376344085
HB_NORTH,2016,11,18.66488888888889
HB_NORTH,2016,12,25.14904569892473
HB_NORTH,2017,01,22.991854838709678
HB_NORTH,2017,02,19.448199404761905
HB_NORTH,2017,03,21.22777927321669
HB_NORTH,2017,04,21.410555555555554
HB_NORTH,2017,05,23.419919354838708
HB_NORTH,2017,06,25.890569444444445
HB_NORTH,2017,07,30.65431451612903
HB_NORTH,2017,08,26.832728494623655
HB_NORTH,2017,09,23.34611111111111
HB_NORTH,2017,10,21.40590053763441
HB_NORTH,2017,11,21.596208333333333
HB_NORTH,2017,12,20.952997311827957
HB_NORTH,2018,01,37.58590053763441
HB_NORTH,2018,02,21.76702380952381
HB_NORTH,2018,03,22.608008075370122
HB_NORTH,2018,04,23.522916666666667
HB_NORTH,2018,05,35.30614247311828
HB_NORTH,2018,06,30.21188888888889
HB_NORTH,2018,07,78.96845430107527
HB_NORTH,2018,08,31.603051075268816
HB_NORTH,2018,09,27.29963888888889
HB_NORTH,2018,10,30.034166666666668
HB_NORTH,2018,11,31.23488888888889
HB_NORTH,2018,12,30.398266129032258
HB_NORTH,2019,01,24.33263440860215
HB_NORTH,2019,02,20.864955357142858
HB_NORTH,2019,03,28.10371467025572
HB_NORTH,2019,04,22.99740277777778
HB_NORTH,2019,05,23.978884408602152
HB_NORTH,2019,06,25.175819444444443
HB_NORTH,2019,07,29.781290322580645
HB_NORTH,2019,08,126.52185483870967
HB_NORTH,2019,09,79.91958333333334
HB_NORTH,2019,10,27.995967741935484
HB_NORTH,2019,11,23.628611111111113
HB_NORTH,2019,12,18.731989247311827
HB_PAN,2019,04,16.548766666666666
HB_PAN,2019,05,16.414327956989247
HB_PAN,2019,06,20.731319444444445
HB_PAN,2019,07,28.384569892473117
HB_PAN,2019,08,124.99173387096774
HB_PAN,2019,09,72.85329166666666
HB_PAN,2019,10,18.71676075268817
HB_PAN,2019,11,11.661291666666667
HB_PAN,2019,12,8.817244623655913
HB_SOUTH,2016,01,19.21005376344086
HB_SOUTH,2016,02,15.333591954022989
HB_SOUTH,2016,03,16.763109017496635
HB_SOUTH,2016,04,18.51290277777778
HB_SOUTH,2016,05,18.57045698924731
HB_SOUTH,2016,06,24.645375
HB_SOUTH,2016,07,26.960255376344087
HB_SOUTH,2016,08,31.207970430107526
HB_SOUTH,2016,09,27.405569444444446
HB_SOUTH,2016,10,26.689663978494625
HB_SOUTH,2016,11,20.148833333333332
HB_SOUTH,2016,12,25.708991935483873
HB_SOUTH,2017,01,23.62481182795699
HB_SOUTH,2017,02,21.079360119047617
HB_SOUTH,2017,03,23.680753701211305
HB_SOUTH,2017,04,25.609402777777778
HB_SOUTH,2017,05,26.495013440860216
HB_SOUTH,2017,06,29.654694444444445
HB_SOUTH,2017,07,32.1294623655914
HB_SOUTH,2017,08,28.31502688172043
HB_SOUTH,2017,09,25.515097222222224
HB_SOUTH,2017,10,25.563655913978494
HB_SOUTH,2017,11,23.977180555555556
HB_SOUTH,2017,12,21.997916666666665
HB_SOUTH,2018,01,39.498145161290324
HB_SOUTH,2018,02,22.30639880952381
HB_SOUTH,2018,03,22.888452220726784
HB_SOUTH,2018,04,24.471888888888888
HB_SOUTH,2018,05,34.226075268817205
HB_SOUTH,2018,06,30.068638888888888
HB_SOUTH,2018,07,78.84737903225806
HB_SOUTH,2018,08,31.66752688172043
HB_SOUTH,2018,09,27.189805555555555
HB_SOUTH,2018,10,29.772513440860216
HB_SOUTH,2018,11,29.837180555555555
HB_SOUTH,2018,12,30.089301075268818
HB_SOUTH,2019,01,25.08606182795699
HB_SOUTH,2019,02,22.12563988095238
HB_SOUTH,2019,03,27.13555854643338
HB_SOUTH,2019,04,22.463333333333335
HB_SOUTH,2019,05,24.05994623655914
HB_SOUTH,2019,06,23.90436111111111
HB_SOUTH,2019,07,29.6375
HB_SOUTH,2019,08,125.93654569892473
HB_SOUTH,2019,09,78.90047222222222
HB_SOUTH,2019,10,29.46840053763441
HB_SOUTH,2019,11,23.718555555555554
HB_SOUTH,2019,12,18.952513440860216
HB_WEST,2016,01,19.126559139784945
HB_WEST,2016,02,14.988663793103449
HB_WEST,2016,03,15.871668909825033
HB_WEST,2016,04,16.86275
HB_WEST,2016,05,17.337674731182794
HB_WEST,2016,06,23.141930555555554
HB_WEST,2016,07,26.54356182795699
HB_WEST,2016,08,29.78673387096774
HB_WEST,2016,09,26.35425
HB_WEST,2016,10,24.11393817204301
HB_WEST,2016,11,18.778416666666665
HB_WEST,2016,12,24.86266129032258
HB_WEST,2017,01,21.901720430107527
HB_WEST,2017,02,17.61668154761905
HB_WEST,2017,03,19.813593539703902
HB_WEST,2017,04,19.99609722222222
HB_WEST,2017,05,22.166612903225808
HB_WEST,2017,06,25.331694444444445
HB_WEST,2017,07,30.29364247311828
HB_WEST,2017,08,26.817043010752688
HB_WEST,2017,09,22.678819444444443
HB_WEST,2017,10,21.69383064516129
HB_WEST,2017,11,21.001791666666666
HB_WEST,2017,12,20.338037634408604
HB_WEST,2018,01,36.05163978494624
HB_WEST,2018,02,21.087604166666665
HB_WEST,2018,03,20.333620457604308
HB_WEST,2018,04,17.156625
HB_WEST,2018,05,27.692016129032258
HB_WEST,2018,06,28.27702777777778
HB_WEST,2018,07,78.51755376344086
HB_WEST,2018,08,31.560120967741934
HB_WEST,2018,09,26.13959722222222
HB_WEST,2018,10,28.76133064516129
HB_WEST,2018,11,28.71525
HB_WEST,2018,12,29.944005376344087
HB_WEST,2019,01,23.881545698924732
HB_WEST,2019,02,20.491160714285716
HB_WEST,2019,03,25.669676985195157
HB_WEST,2019,04,19.551875
HB_WEST,2019,05,22.70266129032258
HB_WEST,2019,06,24.708555555555556
HB_WEST,2019,07,29.45547043010753
HB_WEST,2019,08,126.31528225806451
HB_WEST,2019,09,78.42925
